./alltext/1970.txt,タンゴ,ネコ,ひらく,ソラ,ニャーオ,ララララララ,ララ,気まぐれ,ともる,あー,
./alltext/もう時間潰しに迷わない　最短2分の経路を30分かけて遠回り「乗換案内norippa」.txt,経路,遠回り,就活,空き,丸ノ内線,池袋,こなす,到着,余ら,ジョルダン,
./alltext/アイルトン・セナ、フェンシング、Perfume――電通・菅野薫氏に聞く、「広告×データ」の可能性.txt,菅野,フェンシング,ホンダ,インターナビ,走行,オリンピック,太田,セナ,剣先,可視,
./alltext/アウトプットを意識すれば頭は良くなる.txt,インプット,アウトプット,脳,こども,生み出す,信号,活性,複雑,コンピュータ,小学生,
./alltext/オツベルと象.txt,オツベル,象,グララアガア,把,稲,わらっ,サンタマリア,グワア,斯,小屋,
./alltext/オリエント時計、STIへのスポンサードを継続　「ニュル24時間」「SUPER GT」参戦.txt,SUPER,参戦,ニュルブルクリンク,GT,車両,クオーツ,スポンサー,スバルテクニカインターナショナル,生かす,富士重工,
./alltext/オリックスの宮内会長兼ＣＥＯ、株主総会後に退任.txt,ＣＥＯ,兼,宮内,退く,改革,リース,かじ取り,亮,第一線,当面,
./alltext/ガチャ型課金の衰退タイミングは？　ＳＮＳゲーム株、業界の変遷と投資戦略.txt,ＳＮＳ,ゲーム,パズドラ,ガンホー,利益,売買,株価,たかが,新作,コロプラ,
./alltext/キャラメルと飴玉.txt,飴,キャラメル,肉桂,上等,羹,羊羹,お菓子,268,生意気,喰っ,
./alltext/キューバ選手の「鎖国解禁」　メジャーと他国球界に与える影響とその裏側.txt,キューバ,亡命,メジャー,選手,リーグ,解禁,年俸,プレイ,大金,セペダ,
./alltext/キューピー.txt,キューピー,おもちゃ,ダルマ,ソレッ,ねむり,突きつけ,ピシャンコ,人形,キーキーピイピイ,隅っこ,
./alltext/グラフィカルな取説、短納期で安く請け負います――「取説クラウドソーシング」.txt,取扱,Job,Hub,Teachme,ワーカー,オーダー,書,マニュアル,リソース,外注,
./alltext/コンビニには“絶対に止められないキャンペーン”がある.txt,キャンペーン,廃棄,ロス,利益,コンビニ,何らかの,不具合,症候群,原価,うまみ,
./alltext/ジョン・マカフィー氏、“セキュアな”メッセージングアプリをリリース.txt,FTC,CHADDER,マカフィー,McAfee,メッセージングアプリ,ReCqV,Systems,テスト,β,Tense,
./alltext/シニア世代で増える「脱力起業」　「そこそこ儲けて、食べていければいい」.txt,起業,シニア,職歴,支給,人脈,講座,業,長引く,ハイリスク・ハイリターン,バブル,
./alltext/シード、マレーシアへコンタクトレンズ出荷開始.txt,コンタクトレンズ,マレーシア,アイテム,おおむね,除け,両用,投入,取れ,外需,遠近,
./alltext/スタートダッシュがキャリアの分かれ目.txt,ダッシュ,ヤツ,長所,循環,切れる,積極,実力,試合,就職,キャリア,
./alltext/スマホが同時通訳者に　ビデオチャット通訳アプリ「LACU」.txt,通訳,LACU,同時,支払,悩む,上げれ,受け取れる,チャット,ラクー,App,
./alltext/セブンとローソンの高級おにぎり、どちらがおいしい？.txt,ローソン,海苔,具,セブン,パリ,おにぎり,イレブン,材,サケ,塩分,
./alltext/セメントの樽の中の手紙.txt,セメント,樽,ミキサー,桝,クラッシャー,ボロ,与三,釘,休み,空け,
./alltext/ゾッとするGW渋滞──え？　カーシェアリングで「鉄道の旅」が変わる？.txt,シェアリング,イチゴ,レンタカー,栃木,カーシェアリングサービス,カー,狩り,大塚,レンタサイクル,タイムズカープラス,
./alltext/タイ、ＡＳＥＡＮ向け輸出強化　ＡＥＣ発足にらみ足固め.txt,ＡＳＥＡＮ,域内,ＥＣ,Ａ,タイ,輸出,ベトナム,貿易,促進,フィリピン,
./alltext/タスク管理には、EvernoteとTaskChuteの組み合わせが最強.txt,Evernote,TaskChute,手順,タスク,ノート,細かく,組み換え,リンク,没頭,実行,
./alltext/チャンス.txt,性的,芸者,恋愛,於い,はずみ,至上,ひょんな,特殊,異性,朋輩,
./alltext/デジタル絵本で「読み」能力向上の可能性　京大研究グループ.txt,絵本,デジタル,自明,伸ばせる,ナレーション,信男,正,発達,挿絵,箇所,
./alltext/トヨタ、中国市場を再攻略　10年以内に販売倍増、200万台めざす.txt,小型車,VW,HV,新車,トヨタ自動車,ハイブリッド,127,日産,強める,ゼネラル・モーターズ,
./alltext/トロッコ.txt,良平,トロッコ,土工,蜜柑,彼等,茶店,其処,線路,外れ,勾配,
./alltext/パキスタン、乳業近代化が課題　生産量世界３位も低温物流網など未整備.txt,乳業,生乳,リットル,エングロ・フーズ,有望,搾乳,飼育,乳牛,パキスタン,近代,
./alltext/パキスタン初、携帯周波数競売　落札額１１３４億円、政府目標に届かず.txt,落札,入札,Ｇ,パキスタン,英字,ゾング,公正,見送ら,真価,０,
./alltext/パートから正社員になれる「無期転換ルール」、利用希望者は4割.txt,無期,有期,転換,労働,従業,パート,通算,パートタイマー,992,切り替わる,
./alltext/ファミマがカラオケと一体型店舗オープン　独自の店舗展開で業界での生き残り狙う.txt,カラオケ,コンビニ,平方メートル,ファミリーマート,ファミマ,第一興商,コンビ,出店,ファースト,フード,
./alltext/マンガ『こち亀』に学ぶネタの盛り方.txt,盛っ,ストック,亀,ネタ,入学,両さん,ツッコ,葛飾,停め,お決まり,
./alltext/マンション市場に「消費税ブレーキ」あるか　減税や「すまい給付金」、効果どこまで.txt,不動産,買い手,売り手,戸数,マンション,GW,石澤,減速,入場,慎重,
./alltext/モバイル版Google Mapsが大幅アップデート　車線変更やUberアプリとの連係など.txt,Uber,車線,ルート,タップ,Maps,フィルター,アイコン,ナビ,頼める,プロフィールアイコン,
./alltext/ユーチューバーと連携、企業の関心高まる　低コストで独自表現.txt,トップユーチューバー,同氏,タッグ,オプト,ＨＩＳ,ＣＭ,石丸,動画,アンド,パーツ,
./alltext/リニア、米に売り込み強化、技術の無償供与も　「損して得とれ」、官民一体で受注目指す.txt,リニア,東海,強靱,JR,ワシントン,供与,飛行機,新幹線,メリーランド,打ち出す,
./alltext/ワタシ基準の「ＧＩＲＬＳ☆ＳＫＹ」　等身大の女性の本音を反映.txt,ツアー,ガールズ,スカイ,トラベラー,台湾,女子,旅程,台北,週末,ファッション,
./alltext/三井住友信託、古民家リフォームローン展開　住友林業と提携.txt,民家,リフォーム,ローン,住友林業ホームテック,担保,古,三井,住友林業,信託,居住,
./alltext/上手に上司に「会議を減らしてほしい」と進言する4つの作戦.txt,会議,定例,毎週,進捗,人数,消耗,絶大,乏しい,くみ,9375,
./alltext/不安や悩みを抱えていませんか？――休み明けの不調に効く対策3選.txt,診断,意気込ま,適職,JA,連休,WoyUMQaSdbcEibzmdE,ADAK,千里,みよ,プレッシャー,
./alltext/世帯年収1000万円超の人に聞く、増税後、節約意識は高まりましたか？.txt,節約,世帯,ルクサ,増税,pBcIsSs,予算,ベースアップ,uZXdzMDU,ynI,年収,
./alltext/中国Alibaba、米国でIPOへ　Facebookを超える可能性も.txt,Alibaba,ソフトバンク,Group,巴,上場,阿,最大手,IPO,売,マーケット,
./alltext/中国、知財権侵害物品の税関押収が４割増.txt,税関,財,取り締まり,職員,物品,署,知的,模倣,押収,脅かす,
./alltext/中国・蘭州、水道水汚染で大パニック　水への不安、高まる政府不信.txt,蘭,市民,水道,州,汚染,ベンゼン,物質,市内,飲料,配管,
./alltext/人材不足「すき家」が労働環境の改善を宣言　「根本的な解決になるのか」とネット.txt,ワンオペ,勤務,第三者,分社,休業,厨房,店舗,労働,警備,未遂,
./alltext/今さら聞けない！ 3分で分かる「7つの習慣」まとめ.txt,習慣,Win,私的,主体性,インサイド,砥,本書,優先,導く,III,
./alltext/今夏、原発停止でもぎりぎり電力確保　ただ、電気料金への跳ね返りなど問題も残る.txt,原発,電力,節電,東電,稼動,融通,キロワット,関電,関西電力,余力,
./alltext/企業の“Windows 8.1アレルギー”を解消する、「Project Siena」の可能性.txt,Windows,ストアアプリ,ライセンス,Excel,Embedded,UI,デバイス,ローディング,Project,Siena,
./alltext/光岡自動車「オロチ」生産終了へ　ネットでも終幕を惜しむ声.txt,オロチ,光岡,ファイナル,人だかり,かっこいい,章夫,保安,富山,本館,本店,
./alltext/半導体工場が野菜工場に　富士通、クリーンルームで育てた「キレイヤサイ」発売.txt,Akisai,カリウム,生食,半導体,洗わ,リーフ,農薬,クリーン,栽培,含有,
./alltext/売れる「カット野菜」　利便性に割安感、「食べきりサイズ」で人気、栄養価も変わらず？.txt,野菜,栄養素,キャベツ,水洗い,カット,サラダ,割安,価,栄養,千切り,
./alltext/変な音.txt,看護,病人,婦,退院,革砥,大根,夜半,漱石,夏目,胡瓜,
./alltext/外科室.txt,予,高峰,伯爵,夫人,渠,腰元,看護,外科,あそばし,ごとき,
./alltext/大切なことは「短く」伝える.txt,話し手,聞き手,持ち時間,打ち合わせ,?）」<,レビュー,かぎら,簡潔,練習,意外と,
./alltext/大手住宅、駆け込み反動減てこ入れ　戸建て「防災」「省エネ」注力.txt,鉄骨,追求,防災,太陽光,疑似,地震,装置,震,ヘーベルハウス,災害,
./alltext/失敗園.txt,へちま,棚,チビ,主人,クルミ,不細工,にんじん,力む,ちょん,瞑想,
./alltext/富士通、低カリウムレタスあす出荷　半導体工場を転用.txt,富士通,レタス,透析,くつろぎ,竹田,昨秋,１０月,定植,保てる,苦み,
./alltext/平民道.txt,デモクラシー,平民,道徳,武士,階級,国体,吾輩,共和,君主,重き,
./alltext/悪妻論.txt,といふ,悪妻,亭主,良妻,ゝ,平安,いふ,ゐる,訓練,苦しめ,
./alltext/悪魔.txt,姫君,悪魔,堕落,輿,ゐる,信長,つて,云,南蛮寺,写本,
./alltext/日本人は「ファックス」が好き？　海外メディア「いまだに使ってる」と不思議がる.txt,ファックス,愛用,保有,NewSphere,認める,加わる,ハイテク,代物,Global,複合,
./alltext/昭和シェル石油が新ハイオクガソリン発売へ　フェラーリと共同開発、燃費や加速性能が向上.txt,性能,ヴィーゴ,元売り,ENEOS,清浄,燃費,レギュラー,JX,ハイオクガソリン,シェルピューラ,
./alltext/桜の樹の下には.txt,屍体,埋まっ,憂鬱,溪,心象,一昨日,幻覚,液,旺文社,光彩,
./alltext/検疫所の有害生物、中国・広東省で１１５９種検出.txt,検疫,有害,動植物,検出,所長,広東,験,同局,電子,商,
./alltext/武士道の山.txt,汝,彼ら,しむ,去る,軍隊,野猪,獣,小児,至高,随想,
./alltext/母親の味をオフィスに――惣菜宅配サービス「オフィスおかん」がうらやましい.txt,惣菜,小腹,殺菌,大津,沢木,鮮圧,調理,空い,添加,hjinnB,
./alltext/満願.txt,奥さま,悪玉,奥さん,善玉,医者,小川,診察,叱咤,清潔,おわり,
./alltext/王子HDがニュージーランドの紙事業買収　なぜ「産業革新機構」が後押しする？.txt,パルプ,NZ,針葉樹,原料,段ボール,機構,原紙,HD,王子,強度,
./alltext/現代とは？.txt,ゝ,スタンダール,典雅,現代,虚妄,エロ,老人,伝統,否定,偶像,
./alltext/百貨店3月売上高25.4％増　高額品中心に記録的な駆け込み需要.txt,百貨店,衣料,神戸,食料,18,増,地区,伸び,福岡,中でも,
./alltext/磁気テープ「復権」で新技術　富士フイルム、ソニーが大容量化を加速.txt,テープ,磁気,テラ,富士フイルム,媒体,ハードディスク,エクサバイト,日立マクセル,エクサ,実用,
./alltext/科学者とあたま.txt,科学,難関,前途,錯覚,寺田,寅彦,向上心,忘却,学界,命題,
./alltext/突然始まった国内向けiTunes Match　レコード会社は「時代の流れ」.txt,レコード,楽曲,著作,iTunes,Match,音源,Apple,違法,iCloud,特段,
./alltext/笑われた子.txt,吉,仮面,姉,剃刀,父親,屋根裏,瓶,教師,にやりと,下駄,
./alltext/第一三共がインドの「ランバクシー」を事実上売却　「後発医薬品事業」の大幅縮小は避けられない.txt,ランバクシー,三共,サン・ファーマ,医薬品,後発,譲渡,絡む,交換,和解,FDA,
./alltext/縊死体.txt,空家,附近,冷笑,縊死,死体,振袖,踏切り,啣,絞め殺し,探り,
./alltext/羅生門.txt,下人,老婆,饑死,羅生門,死人,太刀,門,鴉,盗人,楼,
./alltext/若手研究者を支援　資金調達用サイト　エデュケーショナル・デザイン.txt,特製,岡西,ａｃａｄｅｍｉｓｔ,務める,属し,深海,仲介,テヅルモヅル,京都大,文京,
./alltext/英雄の器.txt,項羽,呂,烏江,戦,器,英雄,幕営,いくさ,うつわ,戦っ,
./alltext/葉桜と魔笛.txt,妹,Ｔ,Ｍ,口笛,手紙,城下,ござい,、,姉さん,あたし,
./alltext/蜘蛛の糸.txt,聿,陀多,廴,71,87,極楽,血の池,釈迦,蓮,蓮池,
./alltext/蝿.txt,馭者,猫背,宿場,饅頭屋,ザク,農,饅頭,正午,のう,馬車,
./alltext/訪問先にサプライズ！ 「ガリガリ君」を○○代わりに使ってみる.txt,ガリガリ,サプライズ,意表,手みやげ,ネクタイ,アイス,」<,野呂,ポール,保冷,
./alltext/請求書の支払いまでオンラインで簡単に！　請求書作成サービス「Misoca」が次に目指すもの.txt,請求,Misoca,豊吉,書,見積,発送,郵送,添付,プラン,納品書,
./alltext/豚肉卸値上昇、店頭への影響懸念　ＰＥＤ原因　品薄観測強まる.txt,卸値,食肉,値上がり,川内,ＰＥＤ,外食,国産,豚,豚肉,上昇,
./alltext/貨幣.txt,大尉,闇屋,紙幣,葡萄,酌,おかみ,ケツネ,赤ちゃん,神社,財布,
./alltext/購入型クラウドファンディングの基本的な流れ.txt,リワード,調達,プラットフォーム,キャンペーン,資金,日時,クラウドファンディング,目標,クラウドファンディング・プラットフォーム,寄付,
./alltext/起業希望者、１５年間で８４万人に半減　経営者高齢化も指摘.txt,小規模,起業,【,中規模,掛かる,廃業,承継,白書,．,中小,
./alltext/近づいたら自動で通知──シフト、「iBeacon」用いた博物館向けO2Oシステムを提供.txt,iBeacon,プッシュ,来館,電波,館,Low,美術館,無線,Energy,ビーコン,
./alltext/運.txt,青侍,ござい,往来,運,砂金,簾,おふくろ,翁,匣,授け,
./alltext/野生生物の保護中心から生息数「適正管理」　シカやイノシシなど駆除しやすくする法改正.txt,シカ,鳥獣,イノシシ,推定,生息,適正,狩猟,野生,改正,及び,
./alltext/釣りざおに装着して使える水中カメラ発売　魚がいるか映像で確認.txt,水中,赤外線,ざお,釣り,カメラ,サンコーレアモノショップ,アタッチメント,垂らせ,釣り糸,写り,
./alltext/電通ら、秋葉原で広告連動型Wi-Fiの取り組みを開始　屋外広告にSSID記載.txt,Wi,Fi,広告,秋葉原,OOH,SSID,アキバ,クーポン,シリンダー,誘導,
./alltext/鬱屈禍.txt,ジイド,芸術,詩句,大理石,鼓舞,不平,束縛,ミケランジェロ,敵,駒下駄,
./alltext/黄いろのトマト.txt,ペムペル,ネリ,蜂,雀,番人,キャベジ,あいらしい,おとな,だまっ,トマト,
./alltext/黄金風景.txt,慶,お巡り,のろくさい,るみ,ステッキ,女中,切り抜か,加藤,海浜,銃,
./alltext/黒衣聖母.txt,利,耶観,茂作,田代,祖母,稲見,麻,隠居,栄,卓子,
./alltext/鼻.txt,供,僧,弟子,鼻,哂,尾,長かっ,内,痛う,顋,
./alltext/１５０ｍ鉄道レール切断不要　新日鉄住金、５月下旬に初の運搬試験.txt,レール,貨車,室長,安西,新日鉄,最長,メートル,クレーン,積載,溶接,
./alltext/ＰＰＰ活用で空港整備加速　インドネシア　１．５兆円必要も予算不足.txt,ＰＰＰ,航空,国内外,空港,ジャカルタ,インフラ,同国,同庁,急務,スカルノハッタ,
