1970.txt,タンゴ,ネコ,ひらく,ソラ,ニャーオ,
シード、マレーシアへコンタクトレンズ出荷開始.txt,コンタクトレンズ,マレーシア,アイテム,おおむね,除け,
スタートダッシュがキャリアの分かれ目.txt,ダッシュ,ヤツ,長所,循環,切れる,
スマホが同時通訳者に　ビデオチャット通訳アプリ「LACU」.txt,通訳,同時,支払,悩む,上げれ,
セブンとローソンの高級おにぎり、どちらがおいしい？.txt,ローソン,海苔,セブン,パリ,おにぎり,
セメントの樽の中の手紙.txt,セメント,ミキサー,クラッシャー,ボロ,与三,
ゾッとするGW渋滞──え？　カーシェアリングで「鉄道の旅」が変わる？.txt,シェアリング,イチゴ,レンタカー,栃木,カーシェアリングサービス,
タイ、ＡＳＥＡＮ向け輸出強化　ＡＥＣ発足にらみ足固め.txt,ＡＳＥＡＮ,域内,ＥＣ,タイ,輸出,
タスク管理には、EvernoteとTaskChuteの組み合わせが最強.txt,手順,タスク,ノート,細かく,組み換え,
チャンス.txt,性的,芸者,恋愛,於い,はずみ,
デジタル絵本で「読み」能力向上の可能性　京大研究グループ.txt,絵本,デジタル,自明,伸ばせる,ナレーション,
トヨタ、中国市場を再攻略　10年以内に販売倍増、200万台めざす.txt,小型車,新車,トヨタ自動車,ハイブリッド,127,
トロッコ.txt,良平,トロッコ,土工,蜜柑,彼等,
パキスタン、乳業近代化が課題　生産量世界３位も低温物流網など未整備.txt,乳業,生乳,リットル,エングロ・フーズ,有望,
パキスタン初、携帯周波数競売　落札額１１３４億円、政府目標に届かず.txt,落札,入札,パキスタン,英字,ゾング,
パートから正社員になれる「無期転換ルール」、利用希望者は4割.txt,無期,有期,転換,労働,従業,
ファミマがカラオケと一体型店舗オープン　独自の店舗展開で業界での生き残り狙う.txt,カラオケ,コンビニ,平方メートル,ファミリーマート,ファミマ,
マンガ『こち亀』に学ぶネタの盛り方.txt,盛っ,ストック,ネタ,入学,両さん,
マンション市場に「消費税ブレーキ」あるか　減税や「すまい給付金」、効果どこまで.txt,不動産,買い手,売り手,戸数,マンション,
モバイル版Google Mapsが大幅アップデート　車線変更やUberアプリとの連係など.txt,車線,ルート,タップ,フィルター,アイコン,
ユーチューバーと連携、企業の関心高まる　低コストで独自表現.txt,トップユーチューバー,同氏,タッグ,オプト,ＨＩＳ,
リニア、米に売り込み強化、技術の無償供与も　「損して得とれ」、官民一体で受注目指す.txt,リニア,東海,強靱,ワシントン,供与,
ワタシ基準の「ＧＩＲＬＳ☆ＳＫＹ」　等身大の女性の本音を反映.txt,ツアー,ガールズ,スカイ,トラベラー,台湾,
三井住友信託、古民家リフォームローン展開　住友林業と提携.txt,民家,リフォーム,ローン,住友林業ホームテック,担保,
上手に上司に「会議を減らしてほしい」と進言する4つの作戦.txt,会議,定例,毎週,進捗,人数,
不安や悩みを抱えていませんか？――休み明けの不調に効く対策3選.txt,診断,意気込ま,適職,連休,千里,
世帯年収1000万円超の人に聞く、増税後、節約意識は高まりましたか？.txt,節約,世帯,ルクサ,増税,予算,
中国Alibaba、米国でIPOへ　Facebookを超える可能性も.txt,ソフトバンク,上場,最大手,マーケット,香港,
中国、知財権侵害物品の税関押収が４割増.txt,税関,取り締まり,職員,物品,知的,
中国・蘭州、水道水汚染で大パニック　水への不安、高まる政府不信.txt,市民,水道,汚染,ベンゼン,物質,
人材不足「すき家」が労働環境の改善を宣言　「根本的な解決になるのか」とネット.txt,ワンオペ,勤務,第三者,分社,休業,
今さら聞けない！ 3分で分かる「7つの習慣」まとめ.txt,習慣,私的,主体性,インサイド,本書,
今夏、原発停止でもぎりぎり電力確保　ただ、電気料金への跳ね返りなど問題も残る.txt,原発,電力,節電,東電,稼動,
企業の“Windows 8.1アレルギー”を解消する、「Project Siena」の可能性.txt,ストアアプリ,ライセンス,デバイス,ローディング,操作,
光岡自動車「オロチ」生産終了へ　ネットでも終幕を惜しむ声.txt,オロチ,光岡,ファイナル,人だかり,かっこいい,
半導体工場が野菜工場に　富士通、クリーンルームで育てた「キレイヤサイ」発売.txt,カリウム,生食,半導体,洗わ,リーフ,
売れる「カット野菜」　利便性に割安感、「食べきりサイズ」で人気、栄養価も変わらず？.txt,野菜,栄養素,キャベツ,水洗い,カット,
変な音.txt,看護,病人,退院,革砥,大根,
外科室.txt,高峰,伯爵,夫人,腰元,看護,
大切なことは「短く」伝える.txt,話し手,聞き手,持ち時間,打ち合わせ,?）」<,
大手住宅、駆け込み反動減てこ入れ　戸建て「防災」「省エネ」注力.txt,鉄骨,追求,防災,太陽光,疑似,
失敗園.txt,へちま,チビ,主人,クルミ,不細工,
富士通、低カリウムレタスあす出荷　半導体工場を転用.txt,富士通,レタス,透析,くつろぎ,竹田,
平民道.txt,デモクラシー,平民,道徳,武士,階級,
悪妻論.txt,といふ,悪妻,亭主,良妻,平安,
悪魔.txt,姫君,悪魔,堕落,ゐる,信長,
日本人は「ファックス」が好き？　海外メディア「いまだに使ってる」と不思議がる.txt,ファックス,愛用,保有,認める,加わる,
昭和シェル石油が新ハイオクガソリン発売へ　フェラーリと共同開発、燃費や加速性能が向上.txt,性能,ヴィーゴ,元売り,清浄,燃費,
桜の樹の下には.txt,屍体,埋まっ,憂鬱,心象,一昨日,
検疫所の有害生物、中国・広東省で１１５９種検出.txt,検疫,有害,動植物,検出,所長,
武士道の山.txt,彼ら,しむ,去る,軍隊,野猪,
母親の味をオフィスに――惣菜宅配サービス「オフィスおかん」がうらやましい.txt,惣菜,小腹,殺菌,大津,沢木,
満願.txt,奥さま,悪玉,奥さん,善玉,医者,
王子HDがニュージーランドの紙事業買収　なぜ「産業革新機構」が後押しする？.txt,パルプ,針葉樹,原料,段ボール,機構,
現代とは？.txt,スタンダール,典雅,現代,虚妄,エロ,
百貨店3月売上高25.4％増　高額品中心に記録的な駆け込み需要.txt,百貨店,衣料,神戸,食料,18,
磁気テープ「復権」で新技術　富士フイルム、ソニーが大容量化を加速.txt,テープ,磁気,テラ,富士フイルム,媒体,
科学者とあたま.txt,科学,難関,前途,錯覚,寺田,
突然始まった国内向けiTunes Match　レコード会社は「時代の流れ」.txt,レコード,楽曲,著作,音源,違法,
笑われた子.txt,仮面,剃刀,父親,屋根裏,教師,
第一三共がインドの「ランバクシー」を事実上売却　「後発医薬品事業」の大幅縮小は避けられない.txt,ランバクシー,三共,サン・ファーマ,医薬品,後発,
縊死体.txt,空家,附近,冷笑,縊死,死体,
羅生門.txt,下人,老婆,饑死,羅生門,死人,
若手研究者を支援　資金調達用サイト　エデュケーショナル・デザイン.txt,特製,岡西,ａｃａｄｅｍｉｓｔ,務める,属し,
英雄の器.txt,項羽,烏江,英雄,幕営,いくさ,
葉桜と魔笛.txt,口笛,手紙,城下,ござい,姉さん,
蜘蛛の糸.txt,陀多,71,87,極楽,血の池,
蝿.txt,馭者,猫背,宿場,饅頭屋,ザク,
訪問先にサプライズ！ 「ガリガリ君」を○○代わりに使ってみる.txt,ガリガリ,サプライズ,意表,手みやげ,ネクタイ,
請求書の支払いまでオンラインで簡単に！　請求書作成サービス「Misoca」が次に目指すもの.txt,請求,豊吉,見積,発送,郵送,
豚肉卸値上昇、店頭への影響懸念　ＰＥＤ原因　品薄観測強まる.txt,卸値,食肉,値上がり,川内,ＰＥＤ,
貨幣.txt,大尉,闇屋,紙幣,葡萄,おかみ,
購入型クラウドファンディングの基本的な流れ.txt,リワード,調達,プラットフォーム,キャンペーン,資金,
起業希望者、１５年間で８４万人に半減　経営者高齢化も指摘.txt,小規模,起業,中規模,掛かる,廃業,
近づいたら自動で通知──シフト、「iBeacon」用いた博物館向けO2Oシステムを提供.txt,プッシュ,来館,電波,美術館,無線,
運.txt,青侍,ござい,往来,砂金,おふくろ,
野生生物の保護中心から生息数「適正管理」　シカやイノシシなど駆除しやすくする法改正.txt,シカ,鳥獣,イノシシ,推定,生息,
釣りざおに装着して使える水中カメラ発売　魚がいるか映像で確認.txt,水中,赤外線,ざお,釣り,カメラ,
電通ら、秋葉原で広告連動型Wi-Fiの取り組みを開始　屋外広告にSSID記載.txt,広告,秋葉原,アキバ,クーポン,シリンダー,
鬱屈禍.txt,ジイド,芸術,詩句,大理石,鼓舞,
黄いろのトマト.txt,ペムペル,ネリ,番人,キャベジ,あいらしい,
黄金風景.txt,お巡り,のろくさい,るみ,ステッキ,女中,
黒衣聖母.txt,耶観,茂作,田代,祖母,稲見,
鼻.txt,弟子,長かっ,痛う,上唇,童子,
１５０ｍ鉄道レール切断不要　新日鉄住金、５月下旬に初の運搬試験.txt,レール,貨車,室長,安西,新日鉄,
ＰＰＰ活用で空港整備加速　インドネシア　１．５兆円必要も予算不足.txt,ＰＰＰ,航空,国内外,空港,ジャカルタ,
